names_of_apps,apple_price,google_price,apple_rating,google_rating,apple_content_rating,google_content_rating,apple_genre,google_genre,google_install_count,net_income_by_apple_rating,net_income_by_google_rating,avg_income
SNAPCHAT,0,0,2.5,4,12+,Teen,Photo & Video,Social,500000000,278000,422000,700000
SUPER MARIO RUN,0,0,2.5,4,4+,Everyone,Games,Action,100000000,278000,422000,700000
BATTLEFIELD™ COMPANION,0,0,2.5,4,12+,Everyone 10+,Social Networking,Action,10000000,278000,422000,700000
T-MOBILE TUESDAYS,0,0,2.5,4,17+,Everyone,Lifestyle,Lifestyle,5000000,278000,422000,700000
MTV,0,0,2.5,4,12+,Teen,Entertainment,Entertainment,1000000,278000,422000,700000
U BY BB&T,0,0,2,4.5,4+,Everyone,Finance,Finance,1000000,230000,470000,700000
MCDONALD'S,0,0,2,4,4+,Everyone,Food & Drink,Food & Drink,10000000,230000,422000,652000
AIRWATCH AGENT,0,0,2.5,3.5,4+,Everyone,Business,Business,5000000,278000,374000,652000
NBC SPORTS,0,0,2.5,3.5,4+,Everyone,Sports,Sports,5000000,278000,374000,652000
UNITED AIRLINES,0,0,2.5,3.5,4+,Everyone,Travel,Travel & Local,5000000,278000,374000,652000
NCAA SPORTS,0,0,2,4,4+,Everyone,Sports,Sports,500000,230000,422000,652000
MY COLLEGE BOOKSTORE,0,0,2.5,3.5,4+,Everyone,Shopping,Shopping,100000,278000,374000,652000
AMC,0,0,2,3.5,12+,Teen,Entertainment,Entertainment,1000000,230000,374000,604000
MYCHEVROLET,0,0,2,3.5,17+,Everyone,Lifestyle,Lifestyle,1000000,230000,374000,604000
SNCF,0,0,1.5,3.5,4+,Everyone,Travel,Travel & Local,5000000,182000,374000,556000
PHILIPS HUE,0,0,1.5,3.5,4+,Everyone,Lifestyle,Lifestyle,1000000,182000,374000,556000
